Labels,Biden,Trump
PERSON,7581,13631
ORG,3185,7493
GPE,1795,3838
CARDINAL,1691,4010
DATE,1605,3455
NORP,1387,3146
LOC,458,999
TIME,415,889
FAC,233,435
ORDINAL,217,441
