Subjectivity_Class,Avg Replies,Avg Retweets,Avg Likes,Avg Tweet Length,Avg Sentiment,Total
Passive,0.8,1.4,8.5,12.5,0.016,77259
Balanced,1.0,2.1,10.8,23.3,0.114,59357
Subjective,0.6,0.9,6.5,16.3,0.002,24300
