Subjectivity_Class,Avg Replies,Avg Retweets,Avg Likes,Avg Tweet Length,Avg Sentiment,Total
Passive,1.6,4.6,18.4,14.4,0.016,56341
Balanced,1.8,5.6,21.2,25.5,0.117,48844
Subjective,1.0,3.6,16.4,18.9,0.057,17742
