Subjectivity_Class,Avg Replies,Avg Retweets,Avg Likes,Avg Tweet Length,Avg Sentiment,Total
Passive,1.2,2.2,9.7,12.6,0.012,133953
Balanced,1.2,2.3,10.4,23.6,0.094,100199
Subjective,0.8,1,5.6,16.5,-0.016,40237
