Subjectivity_Class,Avg Replies,Avg Retweets,Avg Likes,Avg Tweet Length,Avg Sentiment,Total
Passive,1.0,2.2,9.3,12.0,0.016,82230
Balanced,2.3,5.0,23.0,22.5,0.107,65588
Subjective,0.6,2.0,8.7,16.2,-0.024,27774
